"Event","Rank","Time","Wind","Name","Nationality","Birthday","Result","City","Date","lon","lat","Altitude","Age"
"100m","1",9.58,0.9,"Usain Bolt","JAM",1986-08-21,"1","Berlin",2009-08-16,13.404954,52.5200066,FALSE,23
"100m","2",9.63,1.5,"Usain Bolt","JAM",1986-08-21,"1","London",2012-08-05,-0.1277583,51.5073509,FALSE,25.98
"100m","3",9.69,0,"Usain Bolt","JAM",1986-08-21,"1","Beijing",2008-08-16,116.4073963,39.9041999,FALSE,22
"100m","3",9.69,2,"Tyson Gay","USA",1982-08-09,"1","Shanghai",2009-09-20,121.473701,31.230416,FALSE,27.13
"100m","3",9.69,-0.1,"Yohan Blake","JAM",1989-12-26,"1","Lausanne",2012-08-23,6.6322734,46.5196535,FALSE,22.67
"100m","6",9.71,0.9,"Tyson Gay","USA",1982-08-09,"2","Berlin",2009-08-16,13.404954,52.5200066,FALSE,27.04
"100m","7",9.72,1.7,"Usain Bolt","JAM",1986-08-21,"1rA","New York City",2008-05-31,-74.0059728,40.7127753,FALSE,21.79
"100m","7",9.72,0.2,"Asafa Powell","JAM",1982-11-23,"1rA","Lausanne",2008-09-02,6.6322734,46.5196535,FALSE,25.79
"100m","9",9.74,1.7,"Asafa Powell","JAM",1982-11-23,"1h2","Rieti",2007-09-09,12.8567281,42.404509,FALSE,24.81
"100m","9",9.74,0.9,"Justin Gatlin","USA",1982-02-10,"1","Ad-Dawhah",2015-05-15,51.5310398,25.2854473,FALSE,33.28
"100m","11",9.75,1.1,"Yohan Blake","JAM",1989-12-26,"1","Kingston",2012-06-29,-117.9269481,33.7085616,FALSE,22.52
"100m","11",9.75,1.5,"Yohan Blake","JAM",1989-12-26,"2","London",2012-08-05,-0.1277583,51.5073509,FALSE,22.62
"100m","11",9.75,0.9,"Justin Gatlin","USA",1982-02-10,"1rA","Roma",2015-06-04,-95.9036356,36.0766378,FALSE,33.33
"100m","11",9.75,1.4,"Justin Gatlin","USA",1982-02-10,"1rA","Lausanne",2015-07-09,6.6322734,46.5196535,FALSE,33.43
"100m","15",9.76,1.8,"Usain Bolt","JAM",1986-08-21,"1","Kingston",2008-05-03,-117.9269481,33.7085616,FALSE,21.72
"100m","15",9.76,1.3,"Usain Bolt","JAM",1986-08-21,"1","Bruxelles",2011-09-16,4.3517103,50.8503396,FALSE,25.09
"100m","15",9.76,-0.1,"Usain Bolt","JAM",1986-08-21,"1","Roma",2012-05-31,-95.9036356,36.0766378,FALSE,25.79
"100m","15",9.76,1.4,"Yohan Blake","JAM",1989-12-26,"1rA","Zürich",2012-08-30,8.541694,47.3768866,FALSE,22.69
"100m","19",9.77,1.6,"Asafa Powell","JAM",1982-11-23,"1","Athínai",2005-06-14,23.7275388,37.9838096,FALSE,22.57
"100m","19",9.77,1.5,"Asafa Powell","JAM",1982-11-23,"1","Gateshead",2006-06-11,-1.603411,54.95268,FALSE,23.56
"100m","19",9.77,1,"Asafa Powell","JAM",1982-11-23,"1rA","Zürich",2006-08-18,8.541694,47.3768866,FALSE,23.75
"100m","19",9.77,1.6,"Tyson Gay","USA",1982-08-09,"1q1","Eugene",2008-06-28,-123.0867536,44.0520691,FALSE,25.9
"100m","19",9.77,-1.3,"Usain Bolt","JAM",1986-08-21,"1","Bruxelles",2008-09-05,4.3517103,50.8503396,FALSE,22.06
"100m","19",9.77,0.9,"Asafa Powell","JAM",1982-11-23,"1h1","Rieti",2008-09-07,12.8567281,42.404509,FALSE,25.81
"100m","19",9.77,0.4,"Tyson Gay","USA",1982-08-09,"1","Roma",2009-07-10,-95.9036356,36.0766378,FALSE,26.94
"100m","19",9.77,-0.3,"Usain Bolt","JAM",1986-08-21,"1","Moskva",2013-08-11,37.6172999,55.755826,FALSE,26.99
"100m","19",9.77,0.6,"Justin Gatlin","USA",1982-02-10,"1","Bruxelles",2014-09-05,4.3517103,50.8503396,FALSE,32.59
"100m","19",9.77,0.9,"Justin Gatlin","USA",1982-02-10,"1s2","Beijing",2015-08-23,116.4073963,39.9041999,FALSE,33.55
"100m","29",9.78,0,"Asafa Powell","JAM",1982-11-23,"1","Rieti",2007-09-09,12.8567281,42.404509,FALSE,24.81
